institute;speaker;topic;date;time;link
IZ;Johanna Mappes, University of Helsinki;Variable selection and maintenance of genetic colour polymorphism in wood tiger moths;27.04.2021;17.00;https://uni-hamburg.zoom.us/j/69448352277?pwd=QmFDcjdUZHBJdXF6U1FqaTMxREdQQT09
IZ;Tomer Czackes, Universität Regensburg;Information use and value perception in social insects;08.06.2021;17.00;https://uni-hamburg.zoom.us/j/69448352277?pwd=QmFDcjdUZHBJdXF6U1FqaTMxREdQQT09
IZ;Robert Peuß, Universität Münster;Evolution of host immunity under reduced parasite pressure;15.06.2021;17.00;https://uni-hamburg.zoom.us/j/69448352277?pwd=QmFDcjdUZHBJdXF6U1FqaTMxREdQQT09
jGBM;Dr. Falko Brinkmann Innovation Services, Eppendorf AG (Physiker);From Lab into Management;06.05.2021;18.30;https://uni-hamburg.zoom.us/j/99111578626?pwd=MU1oVnFnWURFM3NvRElYVVFKWitYZz09
jGBM;Dr. Maja Rischer, Landesanstalt für Landwirtschaft und Gartenbau Sachsen-Anhalt;Vom Biodesign bis zur Futtermittel-Behörde;11.05.2021;18.30;https://uni-hamburg.zoom.us/j/99111578626?pwd=MU1oVnFnWURFM3NvRElYVVFKWitYZz09
jGBM;Dr. Nicola Farmarzi Frontiers;Scientific Publishing: An alternative career in science;20.05.2021;18.30;https://uni-hamburg.zoom.us/j/99111578626?pwd=MU1oVnFnWURFM3NvRElYVVFKWitYZz09
jGBM;Dr. Johanna Pareigis Biologin und freiberufliche Bildungsreferentin;Lernen im Freien;01.06.2021;18.30;https://uni-hamburg.zoom.us/j/99111578626?pwd=MU1oVnFnWURFM3NvRElYVVFKWitYZz09
IPM;Siobhan Brady (UC Davis, USA);Novelty, Conservation and Repurposing in Root Cell Type Development;14.04.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Bo Liu (UC Davis, USA);Assembling acentrosomal spindle apparatus in plant cells;21.04.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Roger W. Innes (Indiana University Bloomington, USA);Extracellular RNA in Plants: Where Does It Come From and What Does It Do?;28.04.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Timm Hoffman (University of Cape Town, South Africa);Rethinking catastrophe? Historical trajectories and modelled future vegetation change in southern Africa;05.05.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Kathrin Test Rousk (University of Copenhagen, Denmark);Nitrogen fixation beyond leguminous plants – characterising overlooked plant-bacteria associations;12.05.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Philip Benfey (Duke University, USA);Underground signaling;19.05.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;Wolf Eiserhardt (Aarhus University, Denmark);Growing the plant Tree of Life in the genomics age;26.05.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
IPM;David Weston (Oak Ridge National Laboratory, USA);Understanding traits from genes to communities;02.06.2021;15.15;https://uni-hamburg.zoom.us/j/65832237420?pwd=UmkwaERzZ2w4VmE4TlBrbTJiTUNqZz09
